what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1295872623200
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1295872623204
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1295872623217
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1295872623229
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1295872623230
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1295872623237
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1295872623239
os,sysinfo,,,"win32",1295872623242
arch,sysinfo,,,"x86",1295872623242
ws,sysinfo,,,"win32",1295872623242
locale,sysinfo,,,"ja_JP",1295872623242
processors,sysinfo,,,"2",1295872623242
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295872623242
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1295872623242
java.specification.name,sysinfo,,,"Java Platform API Specification",1295872623242
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295872623242
java.specification.version,sysinfo,,,"1.6",1295872623242
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295872623242
java.version,sysinfo,,,"1.6.0_22",1295872623242
java.vm.info,sysinfo,,,"mixed mode, sharing",1295872623242
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295872623242
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295872623242
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295872623242
java.vm.specification.version,sysinfo,,,"1.0",1295872623242
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295872623242
java.vm.version,sysinfo,,,"17.1-b03",1295872623242
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1295872624282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295872625156
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1295872631537
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295872632801
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1295872637434
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1295872639701
